# data/codebooks/_/eps_0.0005_M_1024.cbook:
# P=36  size=1024  className='_'
k1,k2,k3
-0.525527,0.745375,0.0310424
-0.588283,0.753001,-0.0403308
-0.623152,0.764725,-0.0289829
-0.480099,0.576453,0.148401
-0.487949,0.641961,0.0467602
-0.272336,0.508705,0.255515
-0.46996,0.676288,0.0490158
-0.185009,0.353361,-0.183382
-0.0893874,0.28235,-0.11512
-0.4032,0.455708,0.0754602
-0.557942,0.655155,0.0291959
-0.463515,0.186524,-0.1227
-0.338173,0.429932,0.0211642
-0.502576,0.617586,-0.0139635
-0.555904,0.537759,-0.00470203
-0.590614,0.400207,0.0345027
-0.58866,0.630813,0.000638064
-0.518865,0.499324,0.00803742
-0.604935,0.537193,0.0311468
-0.500753,0.421404,-0.00677112
-0.604335,0.583903,0.112966
-0.493352,0.453105,0.0078202
-0.350549,0.434634,-0.130683
-0.64629,0.463503,-0.0851331
-0.663235,0.692193,0.0706117
-0.473218,0.381186,-0.0632419
-0.684577,0.613813,0.190986
-0.476486,0.511432,0.0995745
-0.632723,0.665244,0.0766337
-0.50995,0.646654,-0.0192492
-0.487738,0.584097,-0.0900896
-0.579695,0.618397,0.0109641
-0.562093,0.630203,-0.0360765
-0.534826,0.636587,-0.0070545
-0.56103,0.554793,0.00964057
-0.657279,0.500937,-0.020801
-0.55881,0.584737,-0.0380977
-0.554496,0.828721,-0.0618102
-0.479056,0.520583,-0.0819736
-0.521762,0.434145,0.0378687
-0.656575,0.636232,0.0127961
-0.440246,0.386737,-0.0319757
-0.494852,0.597831,-0.0630054
-0.515357,0.432955,-0.0417532
-0.509999,0.580881,-0.0472362
-0.280587,0.391578,-0.0338035
-0.47293,0.338084,-0.0524109
-0.612159,0.586557,-0.00955413
-0.580087,0.508879,-0.0538742
-0.338412,0.586739,-0.0935529
-0.557877,0.530149,-0.061666
-0.441149,0.426719,-0.116723
-0.454618,0.520462,-0.0729585
-0.553814,0.422117,-0.0855626
-0.538868,0.62535,-0.0923346
-0.720705,0.2022,-0.304218
-0.613985,0.378565,-0.263049
-0.59601,0.677231,-0.00435623
-0.567793,0.372426,-0.21261
-0.479732,0.505468,-0.284551
-0.537837,0.566714,-0.111066
-0.555972,0.5773,-0.135432
-0.530167,0.475255,-0.148821
-0.504117,0.546429,0.052756
-0.415335,0.425329,-0.0133729
-0.561161,0.617452,0.08519
-0.479071,0.579545,-0.0492759
-0.560357,0.458007,-0.0359213
-0.497252,0.403744,-0.173164
-0.544726,0.362067,-0.113396
-0.533334,0.459788,-0.212656
-0.608103,0.133075,-0.14017
-0.472068,0.208011,-0.171328
-0.269398,0.277116,-0.319862
-0.495192,0.545159,-0.146643
-0.527132,0.650574,0.0655102
-0.594089,0.685309,0.136204
-0.555046,0.619862,0.00728864
-0.550483,0.590571,-0.000713369
-0.588734,0.692101,0.0110015
-0.441482,0.488282,-0.146226
-0.227479,0.285005,-0.0243888
-0.436242,0.314221,-0.000158726
-0.119857,0.417595,-0.0541442
-0.121952,0.379778,-0.0307961
-0.374922,0.536709,-0.00868398
-0.534397,0.799701,0.123695
-0.0432185,0.417715,0.0170921
-0.131934,0.375981,-0.0632125
-0.566328,0.47123,-0.0228804
-0.481084,0.417336,-0.0866728
-0.481751,0.511477,-0.0880664
-0.380896,0.538268,-0.0593994
-0.49553,0.710027,0.0658534
-0.50147,0.613176,0.0480138
-0.187671,0.350519,-0.0964793
-0.00269016,0.378746,-0.00163803
-0.422441,0.35615,-0.118478
-0.432517,0.484019,-0.0304352
-0.551791,0.624659,0.0289794
-0.480398,0.572411,-0.0251715
-0.462235,0.661697,-0.0308122
-0.474254,0.687086,-0.155506
-0.186634,0.153357,-0.163551
-0.20838,0.168913,-0.137762
-0.105153,0.205832,-0.156291
-0.149134,0.187333,-0.171211
-0.219318,0.13168,-0.190086
-0.224018,0.130115,-0.181262
-0.20652,0.150027,-0.143278
-0.226678,0.191275,-0.108019
-0.34063,0.0521428,-0.264092
-0.309447,0.126218,-0.176672
-0.264124,0.0970945,-0.230197
-0.399213,0.0466764,-0.256213
-0.307408,0.223753,-0.180718
-0.324641,0.291377,-0.198492
-0.398851,0.198913,-0.208215
-0.450596,0.189701,-0.222015
0.194661,0.137685,-0.194253
0.264435,0.353784,-0.0589268
0.0329397,0.247969,-0.150878
0.0238246,0.250923,-0.177601
0.191013,0.381523,-0.170307
0.0550903,0.354419,-0.137478
-0.186008,0.2955,-0.104168
-0.106956,0.301036,-0.172261
-0.104652,0.258121,-0.191013
-0.124945,0.265497,-0.178158
-0.12155,0.249527,-0.120472
-0.149785,0.273418,-0.146637
-0.162334,0.249911,-0.141331
-0.205133,0.291339,-0.0940258
-0.174658,0.366482,-0.0254112
-0.10603,0.417515,-0.0384274
-0.090267,0.148175,-0.152781
-0.100232,0.149964,-0.172352
-0.0779552,0.16566,-0.155297
-0.0530204,0.211428,-0.109035
-0.158331,0.16125,-0.162295
-0.203699,0.190453,-0.149443
-0.177129,0.218066,-0.119206
-0.185635,0.215912,-0.170053
-0.166199,0.138028,-0.199944
-0.147966,0.181965,-0.229626
-0.242286,0.142871,-0.164514
-0.250194,0.173231,-0.165987
-0.237557,0.106251,-0.196214
-0.214324,0.135194,-0.187467
-0.356831,0.084579,-0.218278
-0.460398,0.0450595,-0.231122
-0.189346,0.223753,-0.111771
-0.220063,0.21765,-0.094084
-0.239558,0.198374,-0.0970016
-0.27067,0.311847,-0.0555797
-0.247695,0.200087,-0.0873991
-0.299112,0.29268,-0.0174079
-0.265352,0.323955,-0.0780809
-0.268589,0.313174,-0.058216
-0.19266,0.225783,-0.0814995
-0.23332,0.254341,-0.0511971
-0.182098,0.326826,-0.0519568
-0.248109,0.410434,0.00955258
