# data/predictors/_/HBSe_20170128T231621.prd:
# className='', T=77034, P=36
k1,k2,k3
-0.200115,0.204234,-0.153172
-0.184599,0.247089,-0.174141
-0.210819,0.252665,-0.188956
-0.129941,0.268005,-0.188084
-0.140997,0.325461,-0.238559
-0.194673,0.319633,-0.170401
-0.219765,0.160244,-0.219007
-0.251769,0.180769,-0.178676
-0.238497,0.199739,-0.187877
-0.234538,0.22173,-0.14791
-0.264074,0.239562,-0.127325
-0.248062,0.22697,-0.157332
-0.190379,0.199663,-0.132312
-0.152354,0.241016,-0.112786
-0.139113,0.279642,-0.132133
-0.155415,0.297824,-0.150205
-0.163534,0.364587,-0.129837
-0.227823,0.264529,-0.189712
-0.254878,0.218364,-0.197355
-0.215733,0.284011,-0.182198
-0.18712,0.229026,-0.196256
-0.194212,0.257882,-0.203559
-0.221734,0.293237,-0.209784
-0.283023,0.252634,-0.199506
-0.253639,0.196549,-0.158141
-0.216468,0.221494,-0.189761
-0.232699,0.256146,-0.0753056
-0.242815,0.275188,-0.0754688
-0.258851,0.283944,-0.107761
-0.248691,0.296854,-0.116594
-0.183954,0.28851,-0.140254
-0.221758,0.24577,-0.184351
-0.254617,0.255179,-0.107501
-0.283384,0.251174,-0.0635958
-0.233378,0.286316,-0.0349172
-0.18691,0.282577,-0.0144858
-0.190732,0.255208,-0.147755
-0.201377,0.240797,-0.222522
-0.166477,0.273797,-0.157865
-0.198218,0.313587,-0.0712661
-0.248494,0.225788,-0.194062
-0.225671,0.234711,-0.193124
-0.227547,0.241218,-0.173209
-0.26185,0.255783,-0.209665
-0.256983,0.217877,-0.179282
-0.169435,0.274975,-0.103442
-0.185557,0.257956,-0.171441
-0.182793,0.246707,-0.135451
-0.240162,0.294296,-0.117431
-0.21278,0.2568,-0.153306
-0.206054,0.240241,-0.196875
-0.214108,0.22883,-0.139834
-0.280716,0.279923,-0.145053
-0.242146,0.267948,-0.120535
-0.160091,0.262112,-0.184922
-0.18732,0.254661,-0.135919
-0.246551,0.300347,-0.0373897
-0.251548,0.278335,-0.0142474
-0.254629,0.262446,-0.0991217
-0.171498,0.198066,-0.0389548
-0.17158,0.180322,-0.0852103
-0.182879,0.151466,-0.137424
-0.233377,0.214964,-0.116473
-0.250032,0.192363,-0.19241
-0.190425,0.19669,-0.182532
-0.194822,0.253321,-0.123254
-0.191965,0.228286,-0.170486
-0.200423,0.186924,-0.103697
-0.258222,0.249051,-0.0913507
-0.209743,0.217939,-0.0898033
-0.222208,0.221599,-0.150477
-0.261603,0.22846,-0.121538
-0.235004,0.292331,-0.0920254
-0.242834,0.233224,-0.105118
-0.216983,0.223244,-0.0713777
-0.187329,0.251834,-0.0774528
-0.21021,0.227519,-0.0715432
-0.265561,0.242058,-0.0824666
-0.211492,0.278537,-0.0680633
-0.184449,0.2676,-0.114918
-0.194807,0.269582,-0.120032
-0.177863,0.258006,-0.13143
-0.166977,0.247558,-0.118445
-0.111694,0.253818,-0.157546
-0.147721,0.233202,-0.194463
-0.151435,0.275148,-0.198321
-0.232722,0.248493,-0.133848
-0.191949,0.263802,-0.170838
-0.215149,0.28179,-0.165355
-0.200937,0.261335,-0.106166
-0.19642,0.248642,-0.156072
-0.213622,0.259528,-0.138299
-0.206593,0.273691,-0.156116
-0.254467,0.294578,-0.0933789
-0.221059,0.316495,-0.142824
-0.223769,0.277324,-0.172737
-0.274677,0.299603,-0.150755
-0.255342,0.301009,-0.130768
-0.186348,0.270058,-0.128111
-0.185124,0.234217,-0.150735
-0.186253,0.275368,-0.121527
-0.279377,0.242564,-0.106935
-0.224052,0.216007,-0.136838
-0.244778,0.218084,-0.159479
-0.22213,0.188363,-0.142767
-0.263678,0.211975,-0.140905
-0.323167,0.230104,-0.135222
-0.358123,0.250815,-0.117259
-0.386134,0.185035,-0.212851
-0.399648,0.223294,-0.123645
-0.406551,0.207918,-0.146141
-0.338676,0.240324,-0.126765
-0.345308,0.317409,-0.196188
-0.448746,0.195228,-0.184105
-0.486065,0.0807111,-0.208667
-0.490085,0.109502,-0.226927
-0.525542,0.111425,-0.210228
-0.587836,0.137482,-0.226482
-0.483588,0.154883,-0.243436
-0.494192,0.131348,-0.277075
-0.603679,0.126319,-0.28624
-0.625486,0.11448,-0.288933
-0.638058,0.044936,-0.316305
-0.659583,0.129879,-0.310663
-0.6432,0.14011,-0.306081
-0.703153,0.148481,-0.267425
-0.689389,0.228819,-0.292709
-0.692016,0.233332,-0.287372
-0.708729,0.247593,-0.28363
-0.721141,0.276764,-0.283831
-0.70545,0.319684,-0.280747
-0.702969,0.370435,-0.338846
-0.697924,0.405849,-0.397448
-0.703858,0.34938,-0.359132
-0.737537,0.326797,-0.301395
-0.752931,0.41575,-0.356028
-0.77349,0.363601,-0.339351
-0.788269,0.279003,-0.379522
-0.767604,0.168793,-0.442083
-0.740994,0.179604,-0.411558
-0.680025,0.208971,-0.341368
-0.733616,0.18239,-0.33727
-0.831134,0.114137,-0.332347
-0.850462,0.142242,-0.312676
-0.787054,0.220719,-0.308059
-0.703364,0.157491,-0.289843
-0.551409,0.204925,-0.372314
-0.646273,0.145462,-0.337638
-0.558568,0.145469,-0.252788
-0.423204,0.265162,-0.16443
-0.417038,0.287054,-0.186416
-0.405411,0.220572,-0.182177
-0.45274,0.15376,-0.156812
-0.431054,0.133289,-0.281838
-0.413115,0.183355,-0.298562
-0.429792,0.169471,-0.2653
-0.412181,0.113457,-0.246362
-0.406294,0.196764,-0.164059
-0.396957,0.199964,-0.188769
-0.360747,0.193409,-0.214849
-0.273035,0.201155,-0.18384
-0.27776,0.213198,-0.221734
-0.255892,0.258741,-0.25327
-0.295641,0.213868,-0.189315
-0.330282,0.244094,-0.200649
-0.320986,0.19699,-0.190688
-0.299573,0.156982,-0.154627
-0.268391,0.112557,-0.130365
-0.316374,0.174485,-0.165199
-0.315807,0.140135,-0.242186
-0.239486,0.221467,-0.178325
-0.258619,0.202111,-0.0640414
-0.365479,0.16431,-0.178419
-0.337882,0.186092,-0.186168
-0.327656,0.226714,-0.153601
-0.261312,0.264077,-0.15296
-0.31034,0.322003,-0.156881
-0.279705,0.257248,-0.132506
-0.232212,0.259015,-0.118192
-0.260755,0.216827,-0.127055
-0.175139,0.260591,-0.139886
-0.217763,0.226689,-0.127528
-0.148952,0.238844,-0.194285
-0.164166,0.311902,-0.111924
-0.115523,0.290915,-0.114229
-0.163342,0.279687,-0.0978986
-0.154054,0.283442,-0.156471
-0.228441,0.299031,-0.0759678
-0.251113,0.297489,-0.053819
-0.207088,0.280146,-0.0914344
-0.226938,0.288863,-0.143525
-0.170585,0.305547,-0.18197
-0.231965,0.272425,-0.178131
-0.119728,0.247274,-0.0571689
-0.146232,0.305964,-0.049468
-0.209222,0.273019,-0.063453
-0.257411,0.246928,-0.0270653
-0.230078,0.246807,-0.0853603
-0.24549,0.254235,-0.146267
-0.219908,0.250734,-0.107028
-0.209237,0.239481,-0.14418
-0.233089,0.205832,-0.164623
-0.215815,0.262424,-0.160669
-0.214663,0.283312,-0.150329
-0.19553,0.269545,-0.0883591
-0.137379,0.270903,-0.0733434
-0.0981154,0.269499,-0.15205
-0.190237,0.259008,-0.18367
-0.176912,0.241166,-0.10107
-0.197975,0.259931,-0.135535
-0.216665,0.209525,-0.128649
-0.271311,0.226256,-0.191393
-0.205791,0.274402,-0.173232
-0.219123,0.292014,-0.1451
-0.180125,0.240746,-0.146247
-0.204758,0.263203,-0.152012
-0.170713,0.259378,-0.17895
-0.222935,0.261234,-0.17135
-0.265383,0.268265,-0.131692
-0.201407,0.281993,-0.174215
-0.205442,0.304663,-0.202488
-0.202927,0.251724,-0.213849
-0.213268,0.271408,-0.178526
-0.217922,0.229586,-0.154674
-0.165097,0.199136,-0.185722
