index,cardinality,distortion
684,180,0.044784
685,183,0.046366
686,205,0.044896
687,120,0.052355
688,117,0.049943
689,150,0.049493
690,154,0.046473
691,160,0.048170
692,157,0.049687
693,114,0.053380
694,173,0.050911
695,113,0.058971
696,161,0.045573
697,216,0.044251
698,145,0.050654
699,131,0.050035
700,101,0.052317
701,46,0.076155
702,70,0.058901
703,49,0.078818
704,50,0.058898
705,52,0.069328
706,66,0.063327
707,49,0.071240
708,130,0.053116
709,99,0.058400
710,97,0.056708
711,70,0.065415
712,54,0.069037
713,44,0.072728
714,77,0.066988
715,33,0.089041
716,65,0.062449
717,45,0.081415
718,42,0.086316
719,37,0.094464
720,48,0.060728
721,45,0.072118
722,84,0.057244
723,40,0.071442
724,70,0.063292
725,63,0.083363
726,16,0.149435
727,16,0.152623
728,19,0.104859
729,12,0.115484
730,23,0.114946
731,4,0.110447
732,20,0.140102
733,18,0.096114
734,12,0.169199
735,20,0.121265
736,49,0.074123
737,86,0.063020
738,72,0.056560
739,68,0.060691
740,64,0.067212
741,73,0.059323
742,84,0.057399
743,41,0.068924
744,58,0.064047
745,78,0.057398
746,75,0.062481
747,47,0.075676
748,40,0.072707
749,42,0.082105
750,51,0.069361
751,35,0.088781
752,48,0.081805
753,38,0.095276
754,31,0.112575
755,37,0.096142
756,17,0.101130
757,26,0.104330
758,44,0.097313
759,39,0.108473
760,40,0.085692
761,29,0.091088
762,20,0.108316
763,24,0.110306
764,27,0.100809
765,20,0.104933
766,19,0.094275
767,19,0.159873
768,6,0.067458
769,11,0.056937
770,6,0.031215
771,2,0.033316
772,6,0.079192
773,8,0.083045
774,17,0.078664
775,9,0.060647
776,6,0.075687
777,8,0.052610
778,5,0.088437
779,3,0.069326
780,5,0.068992
781,6,0.094979
782,7,0.071358
783,9,0.074078
784,8,0.062522
785,8,0.093510
786,8,0.076845
787,10,0.048025
788,8,0.040999
789,15,0.088211
790,12,0.099203
791,6,0.155615
792,12,0.084703
793,10,0.080025
794,12,0.055130
795,8,0.096142
796,9,0.103975
797,14,0.087985
798,28,0.072718
799,14,0.071511
800,6,0.077252
801,9,0.081036
802,13,0.079078
803,9,0.080579
804,3,0.052061
805,9,0.071127
806,5,0.058000
807,5,0.094770
808,13,0.080128
809,15,0.108702
810,8,0.069969
811,7,0.067651
812,8,0.063181
813,7,0.069648
814,5,0.078450
815,5,0.056016
816,8,0.099355
817,8,0.115362
818,14,0.060048
819,19,0.074812
820,7,0.119637
821,5,0.105576
822,17,0.098423
823,5,0.215006
824,2,0.034481
825,4,0.125305
826,4,0.192580
827,2,0.139656
828,7,0.106475
829,20,0.094404
830,6,0.160770
831,3,0.164125
832,21,0.098352
833,24,0.095573
834,62,0.063817
835,44,0.076260
836,34,0.064793
837,41,0.073763
838,41,0.068968
839,49,0.065248
840,69,0.057142
841,34,0.061222
842,41,0.057782
843,28,0.066191
844,83,0.056747
845,47,0.060355
846,65,0.057572
847,39,0.066511
848,16,0.069215
849,31,0.063660
850,25,0.075895
851,13,0.065912
852,10,0.103946
853,14,0.130994
854,14,0.107680
855,12,0.122373
856,6,0.156208
857,7,0.133214
858,6,0.146287
859,7,0.158743
860,9,0.178557
861,25,0.113356
862,10,0.178049
863,10,0.169713
864,6,0.072878
865,6,0.108931
866,5,0.091773
867,2,0.032923
868,6,0.067433
869,15,0.115418
870,6,0.128786
871,6,0.161896
872,6,0.138531
873,5,0.115374
874,16,0.103652
875,10,0.101798
876,22,0.087598
877,20,0.124790
878,7,0.180396
879,7,0.138862
880,10,0.090946
881,19,0.102756
882,40,0.079322
883,35,0.081116
884,33,0.088922
885,16,0.082347
886,22,0.079958
887,24,0.101863
888,19,0.096535
889,7,0.141746
890,9,0.116678
891,3,0.086414
892,19,0.104888
893,12,0.087215
894,14,0.092058
895,11,0.133911
896,16,0.123972
897,17,0.090648
898,24,0.108147
899,16,0.180945
900,4,0.166637
901,6,0.113875
902,6,0.152968
903,6,0.155570
904,13,0.149628
905,7,0.108747
906,2,0.100372
907,2,0.072487
908,9,0.143932
909,8,0.153307
910,5,0.112338
911,8,0.149676
912,5,0.092565
913,9,0.085467
914,5,0.144133
915,3,0.055592
916,14,0.127050
917,5,0.132162
918,5,0.094243
919,4,0.057329
920,2,0.022938
921,1,0.000000
922,4,0.064781
923,10,0.075408
924,6,0.102622
925,6,0.060142
926,6,0.089283
927,7,0.094176
928,2,0.079124
929,2,0.036384
930,1,-0.000000
931,0,NaN
932,2,0.018994
933,2,0.021198
934,2,0.030867
935,2,0.022102
936,1,0.000000
937,0,NaN
938,3,0.024343
939,1,0.000000
940,2,0.019805
941,1,0.000000
942,2,0.052837
943,2,0.084969
944,5,0.103666
945,4,0.056531
946,6,0.113951
947,4,0.112179
948,6,0.099469
949,6,0.055440
950,5,0.058724
951,4,0.052434
952,6,0.151616
953,10,0.117560
954,3,0.044133
955,4,0.108792
956,16,0.101183
957,6,0.086662
958,3,0.081068
959,4,0.125326
960,27,0.073132
961,35,0.062757
962,48,0.054023
963,50,0.056170
964,45,0.061080
965,44,0.063024
966,69,0.060123
967,41,0.074445
968,46,0.066767
969,61,0.072552
970,44,0.070519
971,59,0.079122
972,38,0.073200
973,59,0.063225
974,23,0.103468
975,17,0.138623
976,11,0.107806
977,14,0.091914
978,6,0.080519
979,6,0.095136
980,4,0.108460
981,6,0.114624
982,9,0.066980
983,6,0.167862
984,9,0.171368
985,4,0.154669
986,9,0.095789
987,10,0.071843
988,10,0.082753
989,15,0.098478
990,5,0.138942
991,7,0.088928
992,6,0.101764
993,8,0.084152
994,7,0.073244
995,10,0.094622
996,3,0.085331
997,4,0.081885
998,4,0.064075
999,5,0.098435
1000,8,0.085135
1001,9,0.091696
1002,7,0.056898
1003,8,0.050383
1004,6,0.049086
1005,3,0.034702
1006,13,0.070959
1007,6,0.082662
1008,9,0.104988
1009,4,0.036234
1010,7,0.071205
1011,4,0.044282
1012,5,0.081594
1013,7,0.072362
1014,5,0.091202
1015,6,0.104416
1016,2,0.076042
1017,5,0.068523
1018,6,0.066641
1019,11,0.080585
1020,1,0.000000
1021,3,0.043945
1022,3,0.071946
1023,7,0.050240
