# data/codebooks/_/eps_0.0005_M_1024.cbook:
# P=36  size=1024  className='_'
k1,k2,k3
-0.147409,0.336976,-0.103221
-0.155403,0.324244,-0.129489
-0.155031,0.330154,-0.113856
-0.171942,0.335738,-0.0961841
-0.14996,0.334528,-0.126238
-0.143549,0.329286,-0.116789
-0.136365,0.344521,-0.118454
-0.142711,0.328011,-0.139125
-0.146116,0.332245,-0.0946011
-0.142566,0.339224,-0.0828181
-0.135206,0.334719,-0.10513
-0.157942,0.335083,-0.106182
-0.159036,0.311982,-0.136986
-0.168714,0.310907,-0.133371
-0.146505,0.317329,-0.128042
-0.179683,0.306221,-0.137284
-0.160499,0.303938,-0.125943
-0.153792,0.3217,-0.145258
-0.192196,0.29734,-0.123933
-0.168755,0.208434,-0.126146
-0.125147,0.306499,-0.117732
-0.107923,0.300624,-0.121867
-0.0941262,0.288035,-0.142375
-0.0871196,0.330856,-0.14208
-0.113291,0.365659,-0.132442
-0.0737439,0.375332,-0.171661
-0.0556007,0.384136,-0.173131
-0.0952886,0.402309,-0.156496
-0.143331,0.342994,-0.139793
-0.10224,0.361925,-0.113115
-0.129428,0.367005,-0.143338
-0.122686,0.376622,-0.188913
0.0420054,0.266059,-0.150452
-0.0171802,0.45979,-0.0861948
-0.102532,0.487417,-0.193778
-0.084457,0.596531,-0.174556
-0.188168,0.279458,-0.137688
-0.186136,0.283531,-0.133367
-0.191897,0.29208,-0.154247
-0.190278,0.303494,-0.154489
-0.188754,0.323064,-0.0998767
-0.222635,0.30882,-0.0923289
-0.242103,0.313107,-0.100617
-0.279347,0.292995,-0.0885956
-0.162753,0.302709,-0.127662
-0.164032,0.30055,-0.140471
-0.1838,0.308305,-0.13566
-0.206331,0.283651,-0.154422
-0.201442,0.290079,-0.1282
-0.21148,0.278754,-0.142735
-0.235603,0.277896,-0.13004
-0.255307,0.315008,-0.123129
-0.204528,0.30997,-0.117459
-0.219025,0.32914,-0.136194
-0.20201,0.296557,-0.127769
-0.218693,0.293192,-0.129105
-0.249074,0.297376,-0.105924
-0.267509,0.310721,-0.101834
-0.261755,0.319285,-0.103942
-0.310667,0.329905,-0.0711195
-0.254435,0.443389,-0.0034245
-0.27266,0.423374,0.0116822
-0.233101,0.404471,-0.0142434
-0.284251,0.362249,-0.0637253
-0.267622,0.316051,-0.105708
-0.32687,0.296601,-0.105176
-0.335275,0.349195,-0.0388511
-0.390949,0.384879,-0.0828871
-0.159372,0.317754,-0.134605
-0.18283,0.317655,-0.110544
-0.237344,0.297204,-0.118504
-0.288733,0.289098,-0.130414
-0.242209,0.276099,-0.152899
-0.360136,0.233231,-0.1534
-0.379705,0.316352,-0.0355996
-0.404431,0.320705,-0.0733989
-0.351478,0.316118,-0.173997
-0.405823,0.373191,-0.085427
-0.435388,0.241581,-0.153496
-0.460121,0.28741,-0.200078
-0.493524,0.273529,-0.0962475
-0.462353,0.314016,-0.0684847
-0.45173,0.388368,-0.148779
-0.428767,0.316172,-0.219964
-0.429959,0.35019,-0.0457671
-0.446961,0.360681,-0.113517
-0.382396,0.441133,0.0587286
-0.332823,0.500698,0.0438433
-0.470245,0.562572,0.0977885
-0.725216,0.615254,0.0898085
-0.395596,0.392059,-0.0972434
-0.499374,0.582259,0.0407241
-0.601353,0.556525,0.0259551
-0.58195,0.531063,0.105404
-0.586256,0.462325,-0.00237638
-0.615725,0.549797,0.200262
-0.624326,0.512404,-0.0337583
-0.524615,0.502036,-0.149829
-0.513358,0.53549,-0.151337
-0.57349,0.492779,-0.105724
-0.204521,0.294292,-0.147523
-0.303228,0.255078,-0.182129
-0.195267,0.274688,-0.182213
-0.204533,0.272797,-0.184758
-0.257753,0.221683,-0.219854
-0.286002,0.205987,-0.228038
-0.263127,0.233221,-0.205219
-0.269224,0.242404,-0.195182
-0.158376,0.305631,-0.144631
-0.193404,0.32871,-0.139166
-0.147484,0.325506,-0.169823
-0.149863,0.355918,-0.165203
-0.188993,0.278946,-0.160904
-0.198227,0.279503,-0.161048
-0.248846,0.25285,-0.166777
-0.258621,0.243571,-0.174647
-0.288985,0.250308,-0.155198
-0.286108,0.237788,-0.187111
-0.264161,0.258532,-0.152975
-0.311746,0.257658,-0.166888
-0.411295,0.250835,-0.138116
-0.361765,0.26435,-0.122376
-0.330484,0.298856,-0.110481
-0.429468,0.322923,-0.0692033
-0.222636,0.27982,-0.141424
-0.207691,0.289828,-0.150848
-0.316727,0.22758,-0.166073
-0.381524,0.249644,-0.131942
-0.426394,0.159366,-0.19757
-0.423927,0.163602,-0.246332
-0.317192,0.20799,-0.21461
-0.457281,0.146548,-0.240299
-0.145304,0.329381,-0.104648
-0.127544,0.326894,-0.115973
-0.157072,0.337984,-0.114861
-0.171597,0.335068,-0.125542
-0.155307,0.298587,-0.139498
-0.160333,0.335236,-0.119911
-0.141215,0.314913,-0.12562
-0.147303,0.337804,-0.136778
-0.132233,0.313981,-0.11904
-0.127726,0.341783,-0.122107
-0.166966,0.324906,-0.118439
-0.16687,0.3339,-0.127511
-0.175796,0.300588,-0.139685
-0.173423,0.289007,-0.185994
-0.185824,0.288127,-0.1497
-0.214154,0.288266,-0.181399
-0.191527,0.28621,-0.158757
-0.200391,0.30176,-0.146391
-0.214177,0.308515,-0.115947
-0.220722,0.279816,-0.151496
-0.193581,0.283034,-0.165297
-0.19687,0.28525,-0.179119
-0.236079,0.287997,-0.14003
-0.242663,0.270094,-0.174696
-0.21604,0.270775,-0.141681
-0.246336,0.276177,-0.161
-0.281796,0.302821,-0.105951
-0.279137,0.266454,-0.165771
-0.282566,0.240741,-0.17364
-0.380406,0.204266,-0.170616
-0.362435,0.237639,-0.185644
-0.436078,0.252915,-0.164321
-0.326973,0.2046,-0.237137
-0.384616,0.180887,-0.244877
-0.275906,0.25943,-0.148948
-0.326597,0.256372,-0.221233
-0.25499,0.262757,-0.176049
-0.28873,0.245732,-0.162076
-0.279338,0.221649,-0.21461
-0.343975,0.243669,-0.188776
-0.358294,0.239191,-0.138225
-0.358306,0.253091,-0.146496
-0.320463,0.250399,-0.139789
-0.408653,0.258432,-0.0909397
-0.33452,0.270013,-0.114318
-0.378956,0.305518,-0.0635096
